;precision;recall;f1-score;support
0;0.7191763191763192;0.797829811536265;0.7564640584811154;3502.0
1;0.7727126805778491;0.6881074899942824;0.7279600786329956;3498.0
accuracy;0.743;0.743;0.743;0.743
macro avg;0.7459444998770841;0.7429686507652737;0.7422120685570555;7000.0
weighted avg;0.7459292037738267;0.743;0.7422202125512979;7000.0
